run_id,professor_id,condition,seed,writer_received_evidence,verification_applied,final_word_count,verifier_actions
BIO-01_A_1,BIO-01,A,1,False,False,197,
BIO-01_A_2,BIO-01,A,2,False,False,209,
BIO-01_B_1,BIO-01,B,1,True,False,215,
BIO-01_B_2,BIO-01,B,2,True,False,200,
BIO-01_C_1,BIO-01,C,1,False,True,211,delete
BIO-01_C_2,BIO-01,C,2,False,True,168,soften;delete;keep
BIO-01_D_1,BIO-01,D,1,True,True,186,keep;keep;keep;keep
BIO-01_D_2,BIO-01,D,2,True,True,196,soften;delete
BIO-02_A_1,BIO-02,A,1,False,False,220,
BIO-02_A_2,BIO-02,A,2,False,False,199,
BIO-02_B_1,BIO-02,B,1,True,False,217,
BIO-02_B_2,BIO-02,B,2,True,False,218,
BIO-02_C_1,BIO-02,C,1,False,True,176,delete;keep
BIO-02_C_2,BIO-02,C,2,False,True,138,delete;delete;delete
BIO-02_D_1,BIO-02,D,1,True,True,174,soften;delete
BIO-02_D_2,BIO-02,D,2,True,True,220,soften;delete
BIO-03_A_1,BIO-03,A,1,False,False,205,
BIO-03_A_2,BIO-03,A,2,False,False,219,
BIO-03_B_1,BIO-03,B,1,True,False,215,
BIO-03_B_2,BIO-03,B,2,True,False,206,
BIO-03_C_1,BIO-03,C,1,False,True,169,delete;soften
BIO-03_C_2,BIO-03,C,2,False,True,182,soften;soften
BIO-03_D_1,BIO-03,D,1,True,True,225,soften;delete
BIO-03_D_2,BIO-03,D,2,True,True,202,keep;keep;keep;keep;keep;keep
BIO-04_A_1,BIO-04,A,1,False,False,203,
BIO-04_A_2,BIO-04,A,2,False,False,192,
BIO-04_B_1,BIO-04,B,1,True,False,199,
BIO-04_B_2,BIO-04,B,2,True,False,208,
BIO-04_C_1,BIO-04,C,1,False,True,181,keep;keep
BIO-04_C_2,BIO-04,C,2,False,True,187,delete;delete
BIO-04_D_1,BIO-04,D,1,True,True,219,soften
BIO-04_D_2,BIO-04,D,2,True,True,204,delete;delete
CS-01_A_1,CS-01,A,1,False,False,199,
CS-01_A_2,CS-01,A,2,False,False,209,
CS-01_B_1,CS-01,B,1,True,False,196,
CS-01_B_2,CS-01,B,2,True,False,232,
CS-01_C_1,CS-01,C,1,False,True,205,soften
CS-01_C_2,CS-01,C,2,False,True,171,delete;rewrite
CS-01_D_1,CS-01,D,1,True,True,201,keep;keep;keep;keep
CS-01_D_2,CS-01,D,2,True,True,206,soften;delete
CS-02_A_1,CS-02,A,1,False,False,212,
CS-02_A_2,CS-02,A,2,False,False,206,
CS-02_B_1,CS-02,B,1,True,False,207,
CS-02_B_2,CS-02,B,2,True,False,211,
CS-02_C_1,CS-02,C,1,False,True,193,soften
CS-02_C_2,CS-02,C,2,False,True,207,keep;keep
CS-02_D_1,CS-02,D,1,True,True,138,delete;delete
CS-02_D_2,CS-02,D,2,True,True,127,delete;delete;soften
CS-03_A_1,CS-03,A,1,False,False,216,
CS-03_A_2,CS-03,A,2,False,False,208,
CS-03_B_1,CS-03,B,1,True,False,196,
CS-03_B_2,CS-03,B,2,True,False,212,
CS-03_C_1,CS-03,C,1,False,True,184,soften;delete
CS-03_C_2,CS-03,C,2,False,True,187,delete
CS-03_D_1,CS-03,D,1,True,True,192,soften
CS-03_D_2,CS-03,D,2,True,True,205,keep;keep;keep;keep
CS-04_A_1,CS-04,A,1,False,False,208,
CS-04_A_2,CS-04,A,2,False,False,196,
CS-04_B_1,CS-04,B,1,True,False,209,
CS-04_B_2,CS-04,B,2,True,False,209,
CS-04_C_1,CS-04,C,1,False,True,175,keep;delete;delete;delete
CS-04_C_2,CS-04,C,2,False,True,169,keep;delete
CS-04_D_1,CS-04,D,1,True,True,206,delete
CS-04_D_2,CS-04,D,2,True,True,195,delete
PSY-01_A_1,PSY-01,A,1,False,False,206,
PSY-01_A_2,PSY-01,A,2,False,False,205,
PSY-01_B_1,PSY-01,B,1,True,False,185,
PSY-01_B_2,PSY-01,B,2,True,False,205,
PSY-01_C_1,PSY-01,C,1,False,True,142,delete;delete
PSY-01_C_2,PSY-01,C,2,False,True,146,delete;soften
PSY-01_D_1,PSY-01,D,1,True,True,201,soften
PSY-01_D_2,PSY-01,D,2,True,True,196,soften
PSY-02_A_1,PSY-02,A,1,False,False,217,
PSY-02_A_2,PSY-02,A,2,False,False,207,
PSY-02_B_1,PSY-02,B,1,True,False,212,
PSY-02_B_2,PSY-02,B,2,True,False,223,
PSY-02_C_1,PSY-02,C,1,False,True,132,delete;delete
PSY-02_C_2,PSY-02,C,2,False,True,140,delete;delete;rewrite
PSY-02_D_1,PSY-02,D,1,True,True,223,soften
PSY-02_D_2,PSY-02,D,2,True,True,210,keep;keep;keep;keep;keep
PSY-03_A_1,PSY-03,A,1,False,False,189,
PSY-03_A_2,PSY-03,A,2,False,False,212,
PSY-03_B_1,PSY-03,B,1,True,False,210,
PSY-03_B_2,PSY-03,B,2,True,False,228,
PSY-03_C_1,PSY-03,C,1,False,True,196,soften;delete
PSY-03_C_2,PSY-03,C,2,False,True,199,delete;soften
PSY-03_D_1,PSY-03,D,1,True,True,197,soften
PSY-03_D_2,PSY-03,D,2,True,True,211,soften
PSY-04_A_1,PSY-04,A,1,False,False,204,
PSY-04_A_2,PSY-04,A,2,False,False,186,
PSY-04_B_1,PSY-04,B,1,True,False,213,
PSY-04_B_2,PSY-04,B,2,True,False,216,
PSY-04_C_1,PSY-04,C,1,False,True,194,delete;soften
PSY-04_C_2,PSY-04,C,2,False,True,185,soften;delete
PSY-04_D_1,PSY-04,D,1,True,True,220,soften;delete
PSY-04_D_2,PSY-04,D,2,True,True,229,keep;keep;keep;keep;keep
