
email_id,professor_id,condition_hidden,claim_id,atomic_claim,claim_type,evidence_excerpt,label_annotator_1,label_annotator_2,final_label,notes
E-0001,PSY-03,full-01,E-0001_c01,"The professor's research focuses on cognitive and behavioral processes in adolescent risk behavior, particularly regarding substance use and online behavior.",research_topic,,supported,,,
E-0001,PSY-03,full-01,E-0001_c02,The professor's research sheds light on important aspects of human behavior and decision-making dynamics.,impact,,supported,,,
E-0002,CS-04,full-01,E-0002_c01,The professor's research is on machine learning and applied AI.,research_topic,,supported,,,
E-0002,CS-04,full-01,E-0002_c02,The professor's research includes work on predicting stock prices.,research_topic,,supported,,,
E-0002,CS-04,full-01,E-0002_c03,The professor's research includes work on human voice emotion identification.,research_topic,,supported,,,
E-0002,CS-04,full-01,E-0002_c04,The professor published a paper on Indonesian Stock Price Prediction using Decision Tree Regression.,authorship,,supported,,,
E-0002,CS-04,full-01,E-0002_c05,The professor's paper on Indonesian Stock Price Prediction using Decision Tree Regression discussed challenges posed by the Covid-19 era in economic forecasting.,result,,supported,,,
E-0003,CS-04,full-01,E-0003_c01,The professor's research focuses on machine learning and applied AI.,research_topic,,supported,,,
E-0003,CS-04,full-01,E-0003_c02,The professor has conducted research on predicting stock prices.,research_topic,,supported,,,
E-0003,CS-04,full-01,E-0003_c03,The professor has published a paper titled 'Indonesian Stock Price Prediction including Covid19 Era Using Decision Tree Regression'.,authorship,,supported,,,
E-0003,CS-04,full-01,E-0003_c04,"The professor's paper on 'Indonesian Stock Price Prediction including Covid19 Era Using Decision Tree Regression' highlights the complex interplay of various factors influencing stock prices, especially during the COVID-19 pandemic.",result,,partially_supported,,,
E-0004,BIO-02,full-01,E-0004_c01,The professor's research focuses on the mechanisms underlying cellular responses to stress.,research_topic,,outside_evidence_scope,,,
E-0004,BIO-02,full-01,E-0004_c02,The professor's recent work has focused on autophagy and its implications for disease models.,research_topic,,outside_evidence_scope,,,
E-0004,BIO-02,full-01,E-0004_c03,The professor's research has explored the role of autophagy in cancer progression.,research_topic,,outside_evidence_scope,,,
E-0004,BIO-02,full-01,E-0004_c04,The professor has utilized CRISPR-based techniques to elucidate the pathways involved in cellular responses to stress.,method,,outside_evidence_scope,,,
E-0004,BIO-02,full-01,E-0004_c05,The student is enthusiastic about the prospect of contributing to the professor's ongoing research.,,,subjective_or_generic,,,
E-0005,CS-01,full-01,E-0005_c01,The professor's research is on specific topic,research_topic,,supported,,,
E-0005,CS-01,full-01,E-0005_c02,The professor has recent findings on a relevant topic,research_topic,,supported,,,
E-0005,CS-01,full-01,E-0005_c03,The student has taken graduate coursework in machine learning and natural language processing,method,,outside_evidence_scope,,,
E-0005,CS-01,full-01,E-0005_c04,The student explored a relevant research project in a recent project,method,,outside_evidence_scope,,,
E-0005,CS-01,full-01,E-0005_c05,The student's recent project deepened their understanding of a specific method or finding related to the professor's work,method,,outside_evidence_scope,,,
E-0006,BIO-04,full-01,E-0006_c01,"The professor's research is on biomedicine, particularly on osteopontin and its implications in various cancers.",research_topic,,supported,,,
E-0006,BIO-04,full-01,E-0006_c02,The professor has studied the role of osteopontin in atherosclerosis and cardiac fibrosis.,research_topic,,supported,,,
E-0006,BIO-04,full-01,E-0006_c03,The professor explores the molecular mechanisms involved in cancer progression and treatment responses.,research_topic,,supported,,,
E-0006,BIO-04,full-01,E-0006_c04,The student has completed a research project focusing on topics relevant to the professor's work.,research_topic,,outside_evidence_scope,,,
E-0007,BIO-01,full-01,E-0007_c01,The professor's research focuses on the molecular mechanisms underlying disease progression.,research_topic,"Publication record spans Immunotherapy and Immune Responses, Hepatitis B Virus Studies, Virus-based gene therapy research.",partially_supported,,,
E-0007,BIO-01,full-01,E-0007_c02,The professor has used advanced imaging techniques to visualize cellular interactions.,method,Two-dimensional electrophoresis (2-DE) and tandem mass spectrometry (MS/MS) analyses were utilized to analyze the differential protein expression patterns between HBc-VLP-pulsed and untreated BMDCs.,outside_evidence_scope,,,
E-0007,BIO-01,full-01,E-0007_c03,The professor's research has focused on the role of specific biomolecules in cancer metastasis.,research_topic,Local radiotherapy for murine breast cancer increases risk of metastasis by promoting the recruitment of M-MDSCs in lung,supported,,,
E-0007,BIO-01,full-01,E-0007_c04,The student finds the professor's research compelling.,,,subjective_or_generic,,,
E-0008,PSY-01,full-01,E-0008_c01,The professor conducts research.,research_topic,,supported,,,
E-0008,PSY-01,full-01,E-0008_c02,The student has completed coursework in advanced research methods and cognitive psychology.,,,outside_evidence_scope,,,
E-0008,PSY-01,full-01,E-0008_c03,The student is eager to apply to PhD programs this fall.,,,outside_evidence_scope,,,
E-0009,BIO-02,full-01,E-0009_c01,The professor's research focuses on urological disorders.,research_topic,"Publication record spans Urological Disorders and Treatments, Ectopic Pregnancy Diagnosis and Management, Assisted Reproductive Technology and Twin Pregnancy.",supported,,,
E-0009,BIO-02,full-01,E-0009_c02,The professor's research involves the innovative applications of hysteroscopic metroplasty in improving reproductive outcomes.,research_topic,"Our study suggests that hysteroscopic metroplasty in women with a T-shaped uterus improves the reproductive outcome, mainly in women with repeated abortions.",supported,,,
E-0009,BIO-02,full-01,E-0009_c03,The professor's study on the beneficial effects of hysteroscopic metroplasty demonstrates the potential of surgical interventions to improve reproductive outcomes in specific cases.,result,"Our study suggests that hysteroscopic metroplasty in women with a T-shaped uterus improves the reproductive outcome, mainly in women with repeated abortions.",supported,,,
E-0010,CS-04,full-01,E-0010_c01,The professor's research is in the field of artificial intelligence.,research_topic,,supported,,,
E-0010,CS-04,full-01,E-0010_c02,The professor's research focuses on machine learning optimization.,research_topic,,partially_supported,,,
E-0010,CS-04,full-01,E-0010_c03,The professor's research on machine learning optimization has applications in real-world scenarios.,research_topic,,supported,,,
E-0010,CS-04,full-01,E-0010_c04,The student recently completed a small research project that explored the implementation of reinforcement learning algorithms for enhancing decision-making processes in dynamic environments.,research_topic,,outside_evidence_scope,,,
E-0011,CS-04,full-01,E-0011_c01,The professor's research is on machine learning and applied AI.,research_topic,,supported,,,
E-0011,CS-04,full-01,E-0011_c02,The professor has done research on predicting stock prices.,research_topic,,partially_supported,,,
E-0011,CS-04,full-01,E-0011_c03,The professor has published a paper on Indonesian Stock Price Prediction using Decision Tree Regression.,authorship,,supported,,,
E-0011,CS-04,full-01,E-0011_c04,The professor's paper on Indonesian Stock Price Prediction using Decision Tree Regression discussed challenges posed by the Covid-19 era in economic forecasting.,result,,supported,,,
E-0012,BIO-02,full-01,E-0012_c01,"The professor's research focuses on biomedical issues, particularly urological disorders and assisted reproductive technology.",research_topic,"Publication record spans Urological Disorders and Treatments, Ectopic Pregnancy Diagnosis and Management, Assisted Reproductive Technology and Twin Pregnancy.",supported,,,
E-0012,BIO-02,full-01,E-0012_c02,The professor has studied the beneficial effects of hysteroscopic metroplasty for women with a T-shaped uterus.,research_topic,"Our study suggests that hysteroscopic metroplasty in women with a T-shaped uterus improves the reproductive outcome, mainly in women with repeated abortions.",supported,,,
E-0012,BIO-02,full-01,E-0012_c03,The professor's surgical approach utilizes fiberoptic hysteroscopic guidance.,method,Eight women (aged 27-43) with reproductive dysfunction who were diagnosed by hysterosalpingogram and hysteroscopy as having a 'T-shaped' uterus were operated on using fiberoptic hysteroscopic guidance,supported,,,
E-0012,BIO-02,full-01,E-0012_c04,The professor's research on innovative methods aims to improve reproductive outcomes.,impact,"Our study suggests that hysteroscopic metroplasty in women with a T-shaped uterus improves the reproductive outcome, mainly in women with repeated abortions.",supported,,,
E-0013,CS-03,full-01,E-0013_c01,Your research is on artificial intelligence,research_topic,,supported,,,
