email_id,professor_id,condition_hidden,claim_id,atomic_claim,claim_type,evidence_excerpt,label_annotator_1,label_annotator_2,final_label,notes
E-0001,CS-01,pilot-01,E-0001_c01,The professor's research focuses on aspect-based sentiment analysis.,research_topic,,,,,
E-0001,CS-01,pilot-01,E-0001_c02,The professor has published a recent paper on the classification of product reviews using BERT and LSTM-CNN.,research_topic,,,,,
E-0001,CS-01,pilot-01,E-0001_c03,The professor's research on analyzing user feedback is in the context of healthcare and e-commerce.,research_topic,,,,,
E-0001,CS-01,pilot-01,E-0001_c04,The student finds the professor's research compelling.,,,,,,
E-0002,PSY-01,pilot-01,E-0002_c01,The professor works on decision-making and cognitive biases.,research_topic,,,,,
E-0002,PSY-01,pilot-01,E-0002_c02,The professor published a paper on the impact of framing effects on risk assessment.,research_topic,,,,,
E-0002,PSY-01,pilot-01,E-0002_c03,The professor's paper used experimental paradigms.,method,,,,,
E-0002,PSY-01,pilot-01,E-0002_c04,The professor's findings show that subtle changes in context can influence decision outcomes.,result,,,,,
E-0003,CS-01,pilot-01,E-0003_c01,The professor's research is in machine learning and natural language processing.,research_topic,,,,,
E-0003,CS-01,pilot-01,E-0003_c02,The student has taken graduate coursework in machine learning and natural language processing.,,,,,,
E-0003,CS-01,pilot-01,E-0003_c03,The student recently explored a relevant research project or experience.,,,,,,
E-0004,CS-01,pilot-01,E-0004_c01,The professor's research focuses on aspect-based sentiment analysis.,research_topic,,,,,
E-0004,CS-01,pilot-01,E-0004_c02,The professor's recent paper analyzed Bukalapak reviews using LSTM-CNN and BERT.,method,,,,,
E-0004,CS-01,pilot-01,E-0004_c03,The professor's recent paper achieved 93.91% accuracy on marketplace reviews.,result,,,,,
E-0004,CS-01,pilot-01,E-0004_c04,The professor's research on aspect-based sentiment analysis using LSTM-CNN and BERT is innovative.,novelty,,,,,
E-0005,PSY-01,pilot-01,E-0005_c01,The professor's research focuses on human-automation interaction and the critical role of human factors in technology.,research_topic,,,,,
E-0005,PSY-01,pilot-01,E-0005_c02,The professor has a forthcoming paper on AI as a Team Member.,authorship,,,,,
E-0005,PSY-01,pilot-01,E-0005_c03,"The professor's research explores how AI can enhance collaboration, communication, and decision-making within human-agent teams in complex, dynamic work environments.",research_topic,,,,,
E-0005,PSY-01,pilot-01,E-0005_c04,The student believes their background in psychology and interest in the intersection of human behavior and technology would allow them to contribute meaningfully to the professor's research group.,,,,,,
E-0006,PSY-01,pilot-01,E-0006_c01,The professor's research focuses on human-automation interaction and the critical role of human factors in technology.,research_topic,,,,,
E-0006,PSY-01,pilot-01,E-0006_c02,The professor has a forthcoming paper on AI as a Team Member.,authorship,,,,,
E-0006,PSY-01,pilot-01,E-0006_c03,The professor's research explores how AI can effectively collaborate with humans in dynamic environments.,research_topic,,,,,
E-0006,PSY-01,pilot-01,E-0006_c04,The student is eager to deepen their understanding and contribute to research that addresses the challenges of integrating AI into collaborative settings.,,,,,,
E-0007,PSY-01,pilot-01,E-0007_c01,The professor's lab fosters innovative research and collaboration.,research_topic,,,,,
E-0007,PSY-01,pilot-01,E-0007_c02,The professor has ongoing research that the student would like to contribute to.,research_topic,,,,,
E-0008,PSY-01,pilot-01,E-0008_c01,The professor's research is on cognitive processes and emotional regulation.,research_topic,,,,,
E-0008,PSY-01,pilot-01,E-0008_c02,The professor's research examines the neural correlates of emotional regulation and how they can inform therapeutic approaches for anxiety disorders.,research_topic,,,,,
E-0009,CS-01,pilot-01,E-0009_c01,"The professor's research focuses on AI methodologies, particularly reinforcement learning and its applications in real-world scenarios.",research_topic,,,,,
E-0009,CS-01,pilot-01,E-0009_c02,The professor has an innovative approach in integrating neural networks with traditional AI techniques.,method,,,,,
E-0009,CS-01,pilot-01,E-0009_c03,The professor's lab focuses on pushing the boundaries of AI.,research_topic,,,,,
E-0010,CS-01,pilot-01,E-0010_c01,"The professor's research is on data mining, machine learning, and applied AI.",research_topic,,,,,
E-0010,CS-01,pilot-01,E-0010_c02,The professor's recent work is on aspect-based sentiment analysis using advanced models like LSTM and BERT.,research_topic,,,,,
E-0010,CS-01,pilot-01,E-0010_c03,The student is fascinated by the professor's paper on sentiment analysis of marketplace reviews.,,,,,,
E-0011,PSY-01,pilot-01,E-0011_c01,The professor has ongoing research.,research_topic,,,,,
E-0011,PSY-01,pilot-01,E-0011_c02,The professor has expertise that the student wants to learn from.,research_topic,,,,,
