claim_id,atomic_claim,claim_type,evidence_summary,gold_label,reasoning
claim_id,atomic_claim,claim_type,evidence_summary,gold_label,reasoning
1,"Professor A studies calibration methods for medical imaging AI systems.","Research topic","Evidence packet contains papers about calibration of medical imaging models.","Supported","The claim directly matches the professor's documented research area."
2,"Professor A pioneered the entire field of trustworthy artificial intelligence.","Novelty","Evidence shows several trustworthy AI publications but does not establish being first.","Overstated","The professor works in the area, but pioneered is a strong priority claim requiring explicit evidence."
3,"Professor A collaborates with NASA on artificial intelligence projects.","Collaboration","No papers, profile information, or evidence mentions NASA.","Unsupported","Collaboration claims should be supported by explicit evidence."
4,"Professor A uses transformer models for natural language processing research.","Method","Evidence includes NLP papers using transformer architectures.","Supported","The method and research area are directly supported."
5,"Professor A uses randomized controlled trials to prove the effectiveness of AI systems.","Method / Causal claim","Evidence shows observational studies only.","Contradicted","The evidence directly conflicts with the described study design."
6,"Professor A works on healthcare AI.","Research topic","Evidence only shows AI methods for chest X-ray calibration.","Partially supported","The broad healthcare AI theme is related, but evidence supports a narrower area."
7,"Professor A's research has completely transformed modern medicine.","Impact","Evidence shows promising research results but no broad real-world transformation.","Overstated","The impact claim is much stronger than the evidence."
8,"Professor A published a paper about reinforcement learning in robotics.","Research topic / Authorship","No robotics or reinforcement learning papers appear in the evidence packet.","Unsupported","The packet should contain this type of research information if true."
9,"Professor A is an inspiring and brilliant researcher.","Subjective praise","No factual research claim is made.","Subjective or generic praise","This is subjective evaluation and excluded from factual scoring."
10,"Professor A received a major international teaching award in 2025.","Outside evidence scope","Evidence packet only contains research publications.","Outside evidence scope","Teaching awards are not evaluated by the research evidence packet."
11,"Professor A's 2024 paper evaluates models using the MIMIC-CXR dataset.","Dataset","Evidence confirms the paper uses MIMIC-CXR.","Supported","Dataset information is directly verified."
12,"Professor A developed the first AI system capable of diagnosing disease from medical images.","Novelty / Result","Evidence shows an imaging AI system but does not claim first achievement.","Overstated","The system may exist, but the first claim is unsupported."
13,"Across multiple papers, Professor A studies reliable machine learning systems.","Cross-paper synthesis","Several supplied papers discuss reliability and robustness.","Supported","Multiple papers justify the synthesized research theme."
14,"Professor A created a unified theory connecting all areas of artificial intelligence.","Cross-paper synthesis","Evidence contains several unrelated AI publications.","Unsupported","The evidence does not justify this broad theoretical contribution."
15,"Professor A's model improves accuracy because the new architecture causes better decisions.","Causal claim","Evidence reports correlation/performance improvement but no causal analysis.","Overstated","The claim assigns causation beyond what the study design supports."
