email_id,professor_id,condition_hidden,claim_id,atomic_claim,claim_type,evidence_excerpt,label_annotator_1,label_annotator_2,final_label,notes
E-0001,PSY-03,full-01,E-0001_c01,"The professor's research focuses on cognitive and behavioral processes in adolescent risk behavior, particularly regarding substance use and online behavior.",research_topic,,,,,
E-0001,PSY-03,full-01,E-0001_c02,The professor's research sheds light on important aspects of human behavior and decision-making dynamics.,impact,,,,,
E-0002,CS-04,full-01,E-0002_c01,The professor's research is on machine learning and applied AI.,research_topic,,,,,
E-0002,CS-04,full-01,E-0002_c02,The professor's research includes work on predicting stock prices.,research_topic,,,,,
E-0002,CS-04,full-01,E-0002_c03,The professor's research includes work on human voice emotion identification.,research_topic,,,,,
E-0002,CS-04,full-01,E-0002_c04,The professor published a paper on Indonesian Stock Price Prediction using Decision Tree Regression.,authorship,,,,,
E-0002,CS-04,full-01,E-0002_c05,The professor's paper on Indonesian Stock Price Prediction using Decision Tree Regression discussed challenges posed by the Covid-19 era in economic forecasting.,result,,,,,
E-0003,CS-04,full-01,E-0003_c01,The professor's research focuses on machine learning and applied AI.,research_topic,,,,,
E-0003,CS-04,full-01,E-0003_c02,The professor has conducted research on predicting stock prices.,research_topic,,,,,
E-0003,CS-04,full-01,E-0003_c03,The professor has published a paper titled 'Indonesian Stock Price Prediction including Covid19 Era Using Decision Tree Regression'.,authorship,,,,,
E-0003,CS-04,full-01,E-0003_c04,"The professor's paper on 'Indonesian Stock Price Prediction including Covid19 Era Using Decision Tree Regression' highlights the complex interplay of various factors influencing stock prices, especially during the COVID-19 pandemic.",result,,,,,
E-0004,BIO-02,full-01,E-0004_c01,The professor's research focuses on the mechanisms underlying cellular responses to stress.,research_topic,,,,,
E-0004,BIO-02,full-01,E-0004_c02,The professor's recent work has focused on autophagy and its implications for disease models.,research_topic,,,,,
E-0004,BIO-02,full-01,E-0004_c03,The professor's research has explored the role of autophagy in cancer progression.,research_topic,,,,,
E-0004,BIO-02,full-01,E-0004_c04,The professor has utilized CRISPR-based techniques to elucidate the pathways involved in cellular responses to stress.,method,,,,,
