paper,year_venue,task,dataset,method,metrics,findings,overlap_with_us,remaining_gap
"FActScore (arXiv:2305.14251)","2023 EMNLP","Long-form factuality evaluation","Biography generation; 6,500 generations from 13 LMs","Atomic-fact decomposition; % supported by reliable sources","Factual precision (supported-claim %)","Long-form outputs mix supported and unsupported claims; atomic evaluation matters","Foundation for our claim decomposition and supported-claim precision","Biographies with encyclopedic sources, not outreach emails against publication packets"
"SciFact (arXiv:2004.14974)","2020","Scientific claim verification","1,409 expert claims; 5,183 abstracts","Retrieve abstracts, identify rationales, classify support/refute/NEI","Label accuracy, rationale F1","Established scientific claim verification benchmark","Our support/contradict/NEI-style label logic","Benchmark claims, not naturally generated outreach text"
"SciFact-Open (arXiv:2210.13777)","2022 Findings EMNLP","Open-domain scientific claim verification","500K research abstracts","Open-domain retrieval + verification","F1","Systems drop >=15 F1 at realistic scale; abstract-only evidence supports only special cases","Motivates our passage-escalation evidence policy","Not generation; not personalization"
"RARR (arXiv:2210.08726)","2023 ACL","Post-hoc attribution and revision","Diverse generation tasks","Research-then-revise; preserve original where possible","Attribution, preservation","Improves attribution with limited supervision via minimal revision","Template for our verifier's minimal-edit philosophy","Not scientific-email-specific; no personalization measures"
"FLEEK (arXiv:2310.17119)","2023 EMNLP demo","Factual error detection + correction","Prototype evaluation","Claim extraction -> evidence -> judgment -> correction","Fact-error detection F1 (77-85%)","End-to-end extract/verify/correct workflow is feasible","Architectural precedent for our verifier pipeline","Prototype; general knowledge, not publication packets"
"SciFix (arXiv:2305.14707)","2023","Scientific factual error correction","SciFact, SciFact-Open, CovidFact","LLM-based claim correction","Correction accuracy (84/77/72%)","Scientific factual correction is feasible","Evidence that correction can work in science domain","Isolated claims, not discourse-level outreach emails"
"AGREE (arXiv:2311.09533)","2024 NAACL","Grounded generation + citation","5 datasets, 2 LLMs","Self-grounding + test-time adaptation vs prompting and post-hoc citing","Citation accuracy, groundedness","Grounding during generation beats post-hoc citing","Directly motivates our B-vs-C comparison","Not emails; no third-party personalization"
"AuPEL (arXiv:2310.11593)","2023","Personalized-text evaluation","Personalized generation tasks","LLM-judged personalization/quality/relevance","AuPEL axes vs human judgments","Personalized generation needs metrics beyond BLEU/ROUGE","Foundation for our personalization/usefulness axes","No factual accuracy about real third parties"
"When Personalization Misleads (arXiv:2601.11000)","2026","Personalization-induced hallucination","PFQABench","Multiple backbones + personalization methods; mitigation","Joint factual vs personalized performance","Personalization itself can distort factual reasoning","Validates our factuality-personalization tension","QA setting, not publication-grounded outreach"
"Panza (arXiv:2407.10994)","2024","Personalized email generation","3 email datasets","Local fine-tuning + RAG for sender style","Style/personalization quality","Convincing style imitation from <100 samples","One of few LLM email-writing papers","Sender style, not recipient-grounded factuality"
"ScholarCopilot (arXiv:2504.00824)","2025","Citation-grounded academic writing","500K arXiv papers; 1,000 samples; 10-writer study","Retrieval-integrated generation","Retrieval accuracy, writing quality","Better citations and quality in scholarly writing","Grounded scholarly generation is active","Not recipient-personalized outreach; no claim-level professor evaluation"
