email_id,professor_id,condition_hidden,claim_id,atomic_claim,claim_type,evidence_excerpt,label_annotator_1,label_annotator_2,final_label,notes
E-0024,,machine,E-0024_c01,The professor's research is on artificial intelligence and its application in complex systems.,research_topic,,supported,,supported,auto-evaluator
E-0024,,machine,E-0024_c02,The professor has done recent work on a specific paper or topic.,research_topic,,supported,,supported,auto-evaluator
E-0024,,machine,E-0024_c03,The professor explored specific findings or methods in their recent work.,research_topic,,supported,,supported,auto-evaluator
E-0024,,machine,E-0024_c04,The professor used specific methods or techniques to address a specific problem or question.,method,,supported,,supported,auto-evaluator
E-0005,,machine,E-0005_c01,The professor's research is on specific topic,research_topic,,supported,,supported,auto-evaluator
E-0005,,machine,E-0005_c02,The professor has recent findings on a relevant topic,research_topic,,supported,,supported,auto-evaluator
E-0005,,machine,E-0005_c03,The student has taken graduate coursework in machine learning and natural language processing,method,,outside_evidence_scope,,outside_evidence_scope,auto-evaluator
E-0005,,machine,E-0005_c04,The student explored a relevant research project in a recent project,method,,supported,,supported,auto-evaluator
E-0005,,machine,E-0005_c05,The student's recent project deepened their understanding of a specific method or finding related to the professor's work,method,,partially_supported,,partially_supported,auto-evaluator
E-0048,,machine,E-0048_c01,The professor's research focuses on aspect-based sentiment analysis.,research_topic,,supported,,supported,auto-evaluator
E-0048,,machine,E-0048_c02,The professor has published a recent paper analyzing Bukalapak reviews using LSTM-CNN and BERT.,research_topic,,supported,,supported,auto-evaluator
E-0048,,machine,E-0048_c03,The professor's work on applying LSTM-CNN and BERT to sentiment analysis is innovative.,novelty,,partially_supported,,partially_supported,auto-evaluator
E-0048,,machine,E-0048_c04,The professor's lab focuses on applied AI and its practical implications in fields such as healthcare and education technology.,research_topic,,supported,,supported,auto-evaluator
E-0093,,machine,E-0093_c01,The professor's research focuses on aspect-based sentiment analysis.,research_topic,,supported,,supported,auto-evaluator
E-0093,,machine,E-0093_c02,The professor's research also focuses on healthcare data processing.,research_topic,,supported,,supported,auto-evaluator
E-0093,,machine,E-0093_c03,The professor recently published a paper on aspect-based sentiment analysis of Bukalapak reviews.,authorship,,supported,,supported,auto-evaluator
E-0093,,machine,E-0093_c04,The professor combined BERT with LSTM-CNN methods in the paper on aspect-based sentiment analysis of Bukalapak reviews.,method,,supported,,supported,auto-evaluator
E-0093,,machine,E-0093_c05,The combination of BERT and LSTM-CNN methods in the paper on aspect-based sentiment analysis of Bukalapak reviews enhanced classification accuracy.,result,,supported,,supported,auto-evaluator
E-0093,,machine,E-0093_c06,The student believes that a deeper understanding of the methods used in the professor's research would significantly benefit their academic journey.,impact,,subjective_or_generic,,subjective_or_generic,auto-evaluator
E-0039,,machine,E-0039_c01,"The professor's research is on data mining, machine learning, and applied AI.",research_topic,,supported,,supported,auto-evaluator
E-0039,,machine,E-0039_c02,The professor has done recent work on a specific paper or topic.,research_topic,,supported,,supported,auto-evaluator
E-0039,,machine,E-0039_c03,The professor explored specific findings or methods in their recent work.,method,,supported,,supported,auto-evaluator
E-0039,,machine,E-0039_c04,The student has delved into relevant coursework or topics in their graduate studies.,research_topic,,outside_evidence_scope,,outside_evidence_scope,auto-evaluator
E-0039,,machine,E-0039_c05,The student completed a small research project on a brief description of their project.,research_topic,,outside_evidence_scope,,outside_evidence_scope,auto-evaluator
E-0029,,machine,E-0029_c01,Your research interests align with advanced machine learning and natural language processing.,research_topic,,supported,,supported,auto-evaluator
E-0029,,machine,E-0029_c02,The professor conducts research in your lab.,research_topic,,unsupported,,unsupported,auto-evaluator
E-0053,,machine,E-0053_c01,"The professor's research is on data mining, machine learning, and applied AI.",research_topic,,supported,,supported,auto-evaluator
E-0053,,machine,E-0053_c02,The professor's recent work is on aspect-based sentiment analysis.,research_topic,,supported,,supported,auto-evaluator
E-0053,,machine,E-0053_c03,The professor uses advanced models like LSTM and BERT for aspect-based sentiment analysis.,method,,supported,,supported,auto-evaluator
E-0053,,machine,E-0053_c04,The student is particularly fascinated by the professor's paper on sentiment analysis of marketplace product reviews.,,,unsupported,,unsupported,auto-evaluator
E-0053,,machine,E-0053_c05,The student believes that the LSTM-CNN approach used by the professor resonates with the student's academic interests and aspirations.,,,unsupported,,unsupported,auto-evaluator
E-0041,,machine,E-0041_c01,The professor's research is on aspect-based sentiment analysis.,research_topic,,supported,,supported,auto-evaluator
E-0041,,machine,E-0041_c02,The professor's research applies aspect-based sentiment analysis to healthcare and medical imaging.,research_topic,,partially_supported,,partially_supported,auto-evaluator
E-0041,,machine,E-0041_c03,"The professor published a paper titled ""Aspect Based Sentiment Analysis Marketplace Product Reviews Using BERT, LSTM, and CNN"".",authorship,,supported,,supported,auto-evaluator
E-0041,,machine,E-0041_c04,"The professor used LSTM-CNN models in the paper ""Aspect Based Sentiment Analysis Marketplace Product Reviews Using BERT, LSTM, and CNN"".",method,,supported,,supported,auto-evaluator
E-0041,,machine,E-0041_c05,"The professor's approach in the paper ""Aspect Based Sentiment Analysis Marketplace Product Reviews Using BERT, LSTM, and CNN"" enhanced sentiment classification accuracy.",result,,supported,,supported,auto-evaluator
E-0041,,machine,E-0041_c06,The student has taken relevant coursework and completed a small research project focused on sentiment analysis.,,,unsupported,,unsupported,auto-evaluator
E-0042,,machine,E-0042_c01,The professor's research is on artificial intelligence and its application in natural language processing or computer vision.,research_topic,,partially_supported,,partially_supported,auto-evaluator
E-0042,,machine,E-0042_c02,The professor has done work on a specific paper or topic that the student is particularly intrigued by.,research_topic,,subjective_or_generic,,subjective_or_generic,auto-evaluator
E-0042,,machine,E-0042_c03,The professor's approach to a specific technique or application resonates deeply with the student's academic interests.,research_topic,,subjective_or_generic,,subjective_or_generic,auto-evaluator
E-0018,,machine,E-0018_c01,The professor's research focuses on artificial intelligence.,research_topic,,supported,,supported,auto-evaluator
E-0018,,machine,E-0018_c02,The professor has conducted research on a specific topic or method relevant to the student.,research_topic,,partially_supported,,partially_supported,auto-evaluator
E-0018,,machine,E-0018_c03,The professor has used a specific method or technique in their research that the student finds inspiring.,method,,unsupported,,unsupported,auto-evaluator
E-0018,,machine,E-0018_c04,The student believes that working under the professor's guidance would provide invaluable experience and support their goal of making meaningful contributions to AI research.,impact,,subjective_or_generic,,subjective_or_generic,auto-evaluator
E-0034,,machine,E-0034_c01,The professor's research is on machine learning and applied AI.,research_topic,,supported,,supported,auto-evaluator
