claim_id,label_annotator_1,final_label
E-0007_c01,supported,supported
E-0007_c02,unsupported,unsupported
E-0007_c03,supported,supported
E-0004_c01,unsupported,unsupported
E-0004_c02,unsupported,unsupported
E-0004_c03,unsupported,unsupported
E-0040_c01,supported,supported
E-0040_c02,supported,supported
E-0040_c03,overstated,overstated
E-0006_c01,partially_supported,partially_supported
E-0006_c02,supported,supported
E-0006_c03,supported,supported
E-0005_c01,subjective_or_generic,subjective_or_generic
E-0005_c02,subjective_or_generic,subjective_or_generic
E-0005_c03,outside_evidence_scope,outside_evidence_scope
E-0018_c01,partially_supported,partially_supported
E-0018_c02,subjective_or_generic,subjective_or_generic
E-0018_c03,subjective_or_generic,subjective_or_generic
E-0013_c01,supported,supported
E-0013_c02,supported,supported
E-0015_c01,supported,supported
E-0002_c01,supported,supported
E-0002_c02,supported,supported
E-0002_c03,supported,supported
E-0008_c01,subjective_or_generic,subjective_or_generic
E-0008_c02,outside_evidence_scope,outside_evidence_scope
E-0008_c03,outside_evidence_scope,outside_evidence_scope
E-0014_c01,supported,supported
E-0014_c02,supported,supported
E-0014_c03,supported,supported
E-0001_c01,supported,supported
E-0001_c02,subjective_or_generic,subjective_or_generic
E-0025_c01,supported,supported
E-0016_c01,unsupported,unsupported
E-0016_c02,unsupported,unsupported
E-0016_c03,contradicted,contradicted
