claim_id,email_id,run_id,professor_id,condition,seed,verification_applied,original_claim_id
E-0001_c01,E-0001,PSY-03_C_1,PSY-03,C,1,True,PSY-03_C_1_c1
E-0001_c02,E-0001,PSY-03_C_1,PSY-03,C,1,True,PSY-03_C_1_c2
E-0002_c01,E-0002,CS-04_B_2,CS-04,B,2,False,CS-04_B_2_c1
E-0002_c02,E-0002,CS-04_B_2,CS-04,B,2,False,CS-04_B_2_c2
E-0002_c03,E-0002,CS-04_B_2,CS-04,B,2,False,CS-04_B_2_c3
E-0002_c04,E-0002,CS-04_B_2,CS-04,B,2,False,CS-04_B_2_c4
E-0002_c05,E-0002,CS-04_B_2,CS-04,B,2,False,CS-04_B_2_c5
E-0003_c01,E-0003,CS-04_D_1,CS-04,D,1,True,CS-04_D_1_c1
E-0003_c02,E-0003,CS-04_D_1,CS-04,D,1,True,CS-04_D_1_c2
E-0003_c03,E-0003,CS-04_D_1,CS-04,D,1,True,CS-04_D_1_c3
E-0003_c04,E-0003,CS-04_D_1,CS-04,D,1,True,CS-04_D_1_c4
E-0004_c01,E-0004,BIO-02_A_2,BIO-02,A,2,False,BIO-02_A_2_c1
E-0004_c02,E-0004,BIO-02_A_2,BIO-02,A,2,False,BIO-02_A_2_c2
E-0004_c03,E-0004,BIO-02_A_2,BIO-02,A,2,False,BIO-02_A_2_c3
E-0004_c04,E-0004,BIO-02_A_2,BIO-02,A,2,False,BIO-02_A_2_c4
E-0004_c05,E-0004,BIO-02_A_2,BIO-02,A,2,False,BIO-02_A_2_c5
E-0005_c01,E-0005,CS-01_A_2,CS-01,A,2,False,CS-01_A_2_c1
E-0005_c02,E-0005,CS-01_A_2,CS-01,A,2,False,CS-01_A_2_c2
E-0005_c03,E-0005,CS-01_A_2,CS-01,A,2,False,CS-01_A_2_c3
E-0005_c04,E-0005,CS-01_A_2,CS-01,A,2,False,CS-01_A_2_c4
E-0005_c05,E-0005,CS-01_A_2,CS-01,A,2,False,CS-01_A_2_c5
E-0006_c01,E-0006,BIO-04_B_1,BIO-04,B,1,False,BIO-04_B_1_c1
E-0006_c02,E-0006,BIO-04_B_1,BIO-04,B,1,False,BIO-04_B_1_c2
E-0006_c03,E-0006,BIO-04_B_1,BIO-04,B,1,False,BIO-04_B_1_c3
E-0006_c04,E-0006,BIO-04_B_1,BIO-04,B,1,False,BIO-04_B_1_c4
E-0007_c01,E-0007,BIO-01_A_2,BIO-01,A,2,False,BIO-01_A_2_c1
E-0007_c02,E-0007,BIO-01_A_2,BIO-01,A,2,False,BIO-01_A_2_c2
E-0007_c03,E-0007,BIO-01_A_2,BIO-01,A,2,False,BIO-01_A_2_c3
E-0007_c04,E-0007,BIO-01_A_2,BIO-01,A,2,False,BIO-01_A_2_c4
E-0008_c01,E-0008,PSY-01_C_1,PSY-01,C,1,True,PSY-01_C_1_c1
E-0008_c02,E-0008,PSY-01_C_1,PSY-01,C,1,True,PSY-01_C_1_c2
E-0008_c03,E-0008,PSY-01_C_1,PSY-01,C,1,True,PSY-01_C_1_c3
E-0009_c01,E-0009,BIO-02_D_2,BIO-02,D,2,True,BIO-02_D_2_c1
